iter	RMSE
0	0.7919836286
1	0.7671478645
2	0.7433518439
3	0.7210012416
4	0.6999373824
5	0.6795804019
6	0.6602539896
7	0.6414471606
8	0.6227466467
9	0.6055004676
10	0.589418924
11	0.5731772748
12	0.5579319959
13	0.5428503717
14	0.5284736642
15	0.5154967585
16	0.5018890001
17	0.4891363964
18	0.4765581015
19	0.4647663764
20	0.4529973342
21	0.4414302584
22	0.4310732657
23	0.4211045512
24	0.4114476389
25	0.4024261818
26	0.3927892227
27	0.3838919484
28	0.3761383712
29	0.3676956504
30	0.3595524962
31	0.3524132392
32	0.3451372854
33	0.3374793764
34	0.3304200112
35	0.323329465
36	0.3165476994
37	0.309943811
38	0.3033460898
39	0.2970722408
40	0.2926680622
41	0.2880468893
42	0.2827850081
43	0.2775485653
44	0.2734312673
45	0.2688836265
46	0.2639953111
47	0.2589667037
48	0.2549612244
49	0.2502769342
50	0.2473939513
51	0.2431832764
52	0.239299154
53	0.2363465688
54	0.2328473887
55	0.2293833828
56	0.2256640467
57	0.2233453984
58	0.2203074253
59	0.2168310069
60	0.213712371
61	0.2114020083
62	0.2093209351
63	0.2069121933
64	0.2038389047
65	0.2016729323
66	0.1988120151
67	0.1960265262
68	0.1933999974
69	0.1906343038
70	0.1881141148
71	0.1858667111
72	0.1829251737
73	0.1806020524
74	0.1782901587
75	0.1751820015
76	0.1736255024
77	0.1707648391
78	0.1681235081
79	0.1665724174
80	0.1651715029
81	0.162533538
82	0.1609756762
83	0.1588127148
84	0.156649434
85	0.1551547768
86	0.1538785144
87	0.1516370265
88	0.1490686337
89	0.147171098
90	0.1448448383
91	0.143374723
92	0.1412328995
93	0.1394634629
94	0.1378291144
95	0.1360652877
96	0.1346968138
97	0.1332685851
98	0.1316249439
99	0.1298810014
100	0.1287027221
101	0.1271545924
102	0.1253990076
103	0.1241277933
104	0.1227272294
105	0.1212107731
106	0.1195082078
107	0.1181316458
108	0.1168072692
109	0.1156339467
110	0.1144164764
111	0.1129756222
112	0.1120106862
113	0.1107148025
114	0.1091577671
115	0.1079551253
116	0.1071402752
117	0.1063526174
118	0.1049756306
119	0.1032892567
120	0.1022481599
121	0.1013029282
122	0.100636562
123	0.09991730332
124	0.09921018166
125	0.0983411019
126	0.097112965
127	0.09550720986
128	0.09482702358
129	0.09405564367
130	0.09320315182
131	0.09209661103
132	0.09067871367
133	0.08940166797
134	0.08884249621
135	0.08810182488
136	0.08695975938
137	0.08602151631
138	0.08484877235
139	0.0835420438
140	0.08279791029
141	0.08173175614
142	0.08070338141
143	0.07962034352
144	0.07858029516
145	0.077739274
146	0.07697184981
147	0.07599631687
148	0.07486430857
149	0.07418676906
150	0.07307547738
151	0.07264195892
152	0.07145165031
153	0.07097898445
154	0.07008094412
155	0.06947929185
156	0.06892844254
157	0.06809047311
158	0.06758232556
159	0.06721778536
160	0.06632860286
161	0.06594012847
162	0.06532212004
163	0.06470344532
164	0.06425791946
165	0.06347492758
166	0.06256149768
167	0.06171864556
168	0.06123575835
169	0.06043456679
170	0.05999184406
171	0.05933005434
172	0.0586991538
173	0.05804993694
174	0.05753086633
175	0.05709879047
176	0.05659302068
177	0.05594386959
178	0.05520606836
179	0.05475370515
180	0.05450597705
181	0.05383993456
182	0.05327127009
183	0.05274097128
184	0.05232594404
185	0.05183107769
186	0.05105162608
187	0.05059412647
188	0.04990159762
189	0.04962778443
190	0.04925405009
191	0.04866259177
192	0.0482484432
193	0.04778128444
194	0.04746186839
195	0.04708780174
196	0.04655203618
197	0.04608005061
198	0.04568378596
199	0.04522608166
200	0.04486110362
201	0.04420673722
202	0.04391329937
203	0.04329817793
204	0.04300367707
205	0.04248994938
206	0.04209402827
207	0.04181044662
208	0.04162992498
209	0.04121345796
210	0.04088075917
211	0.04038505415
212	0.03982304099
213	0.03953001785
214	0.03893358344
215	0.03845053624
216	0.03802417151
217	0.03774283438
218	0.0374394256
219	0.03710849615
220	0.03675142921
221	0.0364934938
222	0.03626619401
223	0.03600270262
224	0.03551972205
225	0.03520284172
226	0.0347760257
227	0.03445712887
228	0.03408941574
229	0.03367349256
230	0.03337799886
231	0.03300227614
232	0.03264182595
233	0.03237821303
234	0.03216702549
235	0.03192225944
236	0.03148105787
237	0.03115963823
238	0.03085483394
239	0.0305809525
240	0.03036130105
241	0.03018582024
242	0.02983602411
243	0.02964331335
244	0.02945440719
245	0.02916715442
246	0.02893181173
247	0.02879405467
248	0.02849946582
249	0.02835278697
250	0.02819123686
251	0.02798083155
252	0.02769753875
253	0.02746363021
254	0.02717540078
255	0.02703494085
256	0.02682015112
257	0.02665063562
258	0.0264564653
259	0.0262614899
260	0.02606184989
261	0.02596624823
262	0.02572106898
263	0.02539906519
264	0.02526024987
265	0.02492543692
266	0.02482503013
267	0.02447761912
268	0.02430858987
269	0.02412261027
270	0.02396394359
271	0.02369679125
272	0.02344079342
273	0.02316973343
274	0.02295371601
275	0.02274578998
276	0.02249066609
277	0.02224305623
278	0.02203323743
279	0.02182185548
280	0.02165369845
281	0.0214287477
282	0.02118387643
283	0.02097047442
284	0.02080516142
285	0.02056288714
286	0.02039726891
287	0.02028639486
288	0.02007305367
289	0.01995708622
290	0.01980196468
291	0.0195321828
292	0.01934049042
293	0.01920693912
294	0.01899412433
295	0.01876539912
296	0.01862911606
297	0.01843041693
298	0.01830791938
299	0.01811174999
300	0.01805843497
301	0.01792283916
302	0.01779245197
303	0.01753727934
304	0.01741119854
305	0.01732478515
306	0.01715880171
307	0.01693594785
308	0.01676825666
309	0.01661925456
310	0.01648029312
311	0.01629900166
312	0.0161069155
313	0.0159374768
314	0.01584573893
315	0.01568995496
316	0.01561474325
317	0.01546182621
318	0.01530460392
319	0.0151874153
320	0.01508937451
321	0.01489446104
322	0.0147082798
323	0.0145507936
324	0.01445974535
325	0.01424956957
326	0.01416919555
327	0.0140786997
328	0.01401488567
329	0.01383194444
330	0.01376124096
331	0.01362844679
332	0.01348458013
333	0.01336810426
334	0.01330553908
335	0.01315850097
336	0.013056485
337	0.01302470187
338	0.01292233039
339	0.0128479672
340	0.01274189281
341	0.01265550842
342	0.01257058018
343	0.01242071913
344	0.01225805714
345	0.01218698893
346	0.01212219887
347	0.01196261447
348	0.01181131247
349	0.01172973476
350	0.01165990097
351	0.01161269274
352	0.01154755986
353	0.01144285055
354	0.01135313578
355	0.0112048745
356	0.01113190038
357	0.01108020839
358	0.0110311198
359	0.0108852387
360	0.01078074641
361	0.01069720943
362	0.01063589197
363	0.01058383228
364	0.01047301408
365	0.01042348019
366	0.01033178606
367	0.0102204995
368	0.01012346742
369	0.01000821951
370	0.009931067434
371	0.00988183712
372	0.009839859068
373	0.009802621399
374	0.009735704069
375	0.009620439897
376	0.009587953796
377	0.009531241705
378	0.009399695189
379	0.0093323313
380	0.009251825423
381	0.009178995838
382	0.00912077515
383	0.009020612549
384	0.008959755593
385	0.008900223264
386	0.008794983835
387	0.008733378365
388	0.008638005717
389	0.008569093636
390	0.008529578843
391	0.008452292637
392	0.00837469303
393	0.008349371261
394	0.008294752694
395	0.008209498835
396	0.008164926392
397	0.0080859711
398	0.008028860352
399	0.007947251806
400	0.007865707643
401	0.007791544576
402	0.007734276406
403	0.007702822195
404	0.007589345611
405	0.007523784732
406	0.007450732196
407	0.0074037665
408	0.007301877142
409	0.007271396796
410	0.007220509731
411	0.007141807495
412	0.007090298778
413	0.00704266671
414	0.006965511324
415	0.006905184362
416	0.006876986202
417	0.006819766687
418	0.006758935708
419	0.006732012316
420	0.006651664075
421	0.00660864631
422	0.00652627489
423	0.006453551282
424	0.006430792749
425	0.006410376468
426	0.00634023892
427	0.006278131731
428	0.006237474536
429	0.006201022089
430	0.006163895604
431	0.006133549919
432	0.006077451007
433	0.006012363986
434	0.005971932867
435	0.005936803165
436	0.005884976014
437	0.0058427869
438	0.005804839392
439	0.005768342394
440	0.005736741992
441	0.005712831772
442	0.005664003959
443	0.005645959439
444	0.005585156868
445	0.00555830852
446	0.005540181541
447	0.005476592119
448	0.005417016104
449	0.005366896429
450	0.005349009005
451	0.005291189767
452	0.005256703838
453	0.00522499433
454	0.005166934085
455	0.005109088321
456	0.005079219038
457	0.005051888899
458	0.005005114075
459	0.00495873011
460	0.004908837658
461	0.004885898713
462	0.004824978296
463	0.00479697783
464	0.004743332496
465	0.00471802585
466	0.00466165915
467	0.004603442721
468	0.004562291032
469	0.004512615585
470	0.004459515391
471	0.004433738566
472	0.004383115682
473	0.00436550607
474	0.004323325699
475	0.004310507681
